output_Median_2021
<25,25-75,>75
West Virginia,Wyoming,Washington
Tennessee,Wisconsin,Utah
South Carolina,Virginia,Oregon
Oklahoma,Vermont,New Jersey
Ohio,Arizona,New Hampshire
New Mexico,Texas,Massachusetts
Mississippi,South Dakota,Maryland
Louisiana,Rhode Island,Hawaii
Kentucky,Pennsylvania,District of Columbia
Georgia,North Dakota,Connecticut
Florida,North Carolina,Colorado
Arkansas,New York,California
Alabama,Nevada,Alaska
,Nebraska,
,Montana,
,Missouri,
,Minnesota,
,Michigan,
,Maine,
,Kansas,
,Iowa,
,Indiana,
,Illinois,
,Idaho,
,Delaware,
