State,2021
The United States,"70,784"
Alabama,"56,929"
Alaska,"81,133"
Arizona,"70,821"
Arkansas,"50,784"
California,"81,575"
Colorado,"84,954"
Connecticut,"80,958"
Delaware,"68,687"
District of Columbia,"90,640"
Florida,"59,734"
Georgia,"61,497"
Hawaii,"82,199"
Idaho,"76,918"
Illinois,"79,253"
Indiana,"70,190"
Iowa,"72,429"
Kansas,"75,979"
Kentucky,"55,629"
Louisiana,"57,206"
Maine,"71,139"
Maryland,"97,332"
Massachusetts,"86,566"
Michigan,"64,488"
Minnesota,"80,441"
Mississippi,"46,637"
Missouri,"63,594"
Montana,"64,999"
Nebraska,"78,109"
Nevada,"64,340"
New Hampshire,"88,841"
New Jersey,"88,559"
New Mexico,"53,463"
New York,"72,920"
North Carolina,"62,891"
North Dakota,"68,882"
Ohio,"62,689"
Oklahoma,"60,096"
Oregon,"81,855"
Pennsylvania,"72,627"
Rhode Island,"74,982"
South Carolina,"62,542"
South Dakota,"73,893"
Tennessee,"62,166"
Texas,"67,404"
Utah,"87,649"
Vermont,"76,079"
Virginia,"80,268"
Washington,"87,648"
West Virginia,"46,836"
Wisconsin,"69,943"
Wyoming,"71,052"
